	MF: KIRC	MF: BRCA	MF: READ	MF: PRAD	MF: STAD	MF: HNSC	MF: LUAD	MF: THCA	MF: BLCA	MF: ESCA	MF: LIHC	MF: UCEC	MF: COAD	MF: LUSC	MF: CESC	MF: KIRP	METH: KIRC	METH: BRCA	METH: READ	METH: PRAD	METH: STAD	METH: HNSC	METH: LUAD	METH: THCA	METH: BLCA	METH: ESCA	METH: LIHC	METH: UCEC	METH: COAD	METH: LUSC	METH: CESC	METH: KIRP	GE: KIRC	GE: BRCA	GE: READ	GE: PRAD	GE: STAD	GE: HNSC	GE: LUAD	GE: THCA	GE: BLCA	GE: ESCA	GE: LIHC	GE: UCEC	GE: COAD	GE: LUSC	GE: CESC	GE: KIRP	CNA: KIRC	CNA: BRCA	CNA: READ	CNA: PRAD	CNA: STAD	CNA: HNSC	CNA: LUAD	CNA: THCA	CNA: BLCA	CNA: ESCA	CNA: LIHC	CNA: UCEC	CNA: COAD	CNA: LUSC	CNA: CESC	CNA: KIRP
GTF2A2	0.0	0.005297291841837429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04087508707193273	0.011468680952340249	0.0012318912439181098	0.005939877130732636	0.0029416706237604174	0.0016641753285580522	0.005289338845590279	0.015484023047070779	0.013871171065122442	0.011416292092600623	0.014780031853357868	0.016670007015940656	0.009718486776640549	0.003338622455203817	0.0025617105128316374	0.009368369058481152	0.010055531377387331	0.02231138341031075	0.013753743400903342	0.038748282244578505	0.01589103557012867	0.003990713212794482	0.004371351134452852	0.013582424980748761	0.021397984003458957	0.006874673230827659	0.03534496521533857	0.031092724540589936	0.002992014444552037	0.029809494430614373	0.04386077979799631	0.003982541006323707	0.002398994182912186	0.0	0.0	0.5374149659863947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17587939698492464
GTF2A1	0.012813854057160705	0.010581796695204067	0.0	0.0	0.012332876987962078	0.005488115138990327	0.0	0.0	0.0	0.0	0.0	0.0038512200484000485	0.0	0.0	0.0	0.040871654039505434	0.0645800473645896	0.03646680174267126	0.01838607078791248	0.07169329328574325	0.006670419847122266	0.07242594753196131	0.007100483624936727	0.013273623079763845	0.027415209282138992	0.008707848548509534	0.029461270789751564	0.017748689189009632	0.0001731887841074036	0.07856853901426959	0.03878351227081866	0.05848091010461396	0.021636735634553563	0.03334427894184617	0.01501843348884645	0.02130636571738217	0.016875996513284718	0.015282604567678094	0.007558389713158524	0.02517469946907733	0.021185486517703328	0.0005758752760928275	0.01217575166794568	0.02000888166943269	0.008258487126058226	0.02066156137369417	0.023833534306074145	0.03886720183598045	0.4903225806451613	0.0	0.4897959183673469	0.0	0.0	0.0	0.3978779840848808	0.0	0.0	0.0	0.0	0.0	0.4631901840490798	0.0	0.0	0.25125628140703515
VANGL2	0.0	0.005310375609009991	0.0	0.022763894616675436	0.02602878960496655	0.010981418267569916	0.06097413229248105	0.0	0.0	0.054045174902889	0.0	0.015248321031143925	0.0	0.0	0.028202420260537445	0.0	0.16022683260262802	0.18951803600009484	0.044405184831281426	0.20433771091564745	0.12478245930207835	0.08222942264699233	0.26301209248055946	0.019003045144614535	0.2048457651910568	0.1786777994825868	0.17694563427574173	0.013408745578900521	0.1566823851345828	0.016017355316301475	0.0747591416544833	0.13463059658752702	0.1073235321550178	0.007762959739773106	0.025839552264546376	0.10130086281241464	0.052144196778710544	0.04999078117728245	0.000945038513224426	0.007491975109554844	0.022061864270583723	0.03301275823432613	0.08545775650700022	0.08682753072034272	0.018034184571998742	0.1863027061769106	0.10188871079958234	0.015498190301831291	0.13333333333333336	0.0	0.326530612244898	0.0	0.0	0.0	0.0	0.3222222222222223	0.0	0.6413793103448276	0.0	0.0	0.0	0.0	0.0	0.0
SCRIB	0.012742105202004613	0.0	0.0	0.02272608143404276	0.05092798629980507	0.01015716134392504	0.02005388665783003	0.0	0.09027480922986544	0.0	0.09967892544779294	0.015009971034375074	0.0	0.05402826025918789	0.02777339655069001	0.04072776452961827	0.009492836661033776	0.0021083317506694972	0.007599589478786344	0.008962597799550031	0.029635896778591086	0.14738090476354543	0.0014091238641117342	0.011966412603745898	0.009071666999481873	0.05528477749706645	0.0061995508488196524	0.0038252998849874265	0.018072248170907947	0.019555246096115704	0.004292618285969259	0.02627590612781224	0.011495170715301489	0.08739226080489304	0.044410491083658604	0.1014015054322779	0.07145642850785207	0.027928956295704965	0.08974911637142303	0.07729286621615623	0.07357320193530034	0.08800914500571476	0.11442072365077234	0.10128621528295115	0.0510599250390418	0.10510136350559172	0.12659669309952679	0.014694227493497261	0.16989247311827957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DVL2	0.0	0.005312418437083793	0.0	0.022717947918079594	0.012504896016699548	0.0	0.02054803966861023	0.0036031163319585014	0.06127194352382659	0.0	0.0249897567745347	0.02691928737373083	0.0	0.0	0.0	0.0	0.013431122373876982	0.015490349929096665	0.0008305424393620352	0.04532366764957428	0.022102488648275746	0.011781502944650437	0.011241280430892594	0.005274303898657826	0.027538570154620447	0.008779471243903958	0.04570154433112593	0.01557853957431046	0.010250955366590951	0.0033549666113729657	0.017485820463440282	0.015118151992823724	0.020457918277167073	0.0378800638719719	0.009250978987269474	0.03733038095700617	0.0038925663616754856	0.029939519122224124	0.007610435643215582	0.007625824163020739	0.01349573327282188	0.05167360987530498	0.1154955440235473	0.04894299707171835	0.0032738832522860744	0.04094524966297342	0.07242906743513465	0.04421627349539233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08888888888888888	0.0	0.0	0.8339483394833949	0.0	0.0	0.0	0.0	0.0
PARD6A	0.0	0.0	0.0	0.0	0.0	0.0	0.02052689064616471	0.0	0.03068458600735432	0.0	0.0	0.0	0.0	0.0	0.027526975751674766	0.0	0.11611562622483905	0.017330965791496695	0.1757793397897836	0.0009628978283083933	0.11203729683479838	0.25689952997761123	0.1836652043182223	0.02464409648654041	0.10763148712667964	0.2788019465006362	0.07727628145930565	0.006091538373786435	0.1983512803656925	0.13255616072661935	0.1926289690667957	0.10889779622729281	0.0900640053037977	0.05737150763958147	0.0011306183192845852	0.055292740252793016	0.02514609148716197	0.1032436544126284	0.01940066837160119	0.0655132445240666	0.0018448189361242272	0.03271143887773281	0.015565270285758635	0.008097439300956919	0.049750814150623046	0.0786499984574409	0.0020517440313843347	0.02458173991736485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40909090909090906	0.0	0.0	0.6015625	0.0	0.0	0.0	0.0
GRB2	0.012802944622157557	0.0	0.0	0.0	0.025590255712801373	0.0	0.020434956098399987	0.006997339687136085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011452332439112653	0.003150960228287108	0.030192395550842185	0.0007956146260807897	0.002951056595673556	0.0067413705613277196	0.005282624280539918	0.004734209036685716	0.020783586572975556	0.0034694462599911442	0.008111766352652566	0.0035343588193997686	0.009236423106963806	0.01495394493529937	0.0007774260339501423	0.001731388863176171	0.003820909590436538	0.04484641149075011	0.020776417350391634	0.011779370906570658	0.003972714331993831	0.02727137595245152	0.029677915495190433	0.002085971524854386	0.014727140154712695	0.035318261736938326	0.043590702658264986	0.012044084873998502	0.028320376704884027	0.029348857090044603	0.009328054837232048	0.02751711659432995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08888888888888888	0.7348484848484849	0.0	0.0	0.0	0.0	0.5221238938053098	0.3259911894273128	1.0
GAB1	0.0	0.005306393282085877	0.027298832094742244	0.0	0.0	0.0	0.0	0.006929492341821678	0.0	0.053827433585512716	0.0	0.011182336941869016	0.005398769809539895	0.0	0.02740432892132886	0.0	0.009171379650475566	0.003533845420308998	0.005242552370127394	0.011937644102577812	0.07814044345662916	0.0057505228649200775	0.00985433670917777	0.002944192222426287	0.0031423498513184667	0.013653939147087894	0.00017263916511682016	0.00255433181532628	0.006977328504452098	0.015401364596477582	0.011189775523108961	0.0025896567327559523	0.032989745815128	0.07262386830927396	0.09436100592953806	0.12309337296938902	0.05226887870367182	0.0906510473761214	0.18667925451038553	0.04382296554850097	0.11595791636659594	0.07472561871051356	0.009572384057605384	0.17792616542848383	0.0975331358059552	0.12804244114589583	0.16243311282336328	0.055137478447202494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EGFR	0.012623973052768632	0.015809011521215024	0.0	0.04539813420166778	0.03371283202724119	0.04845745073603559	0.24219029014361948	0.0	0.0	0.0	0.04914560390590599	0.04016233683247047	0.005327718368931885	0.0	0.10764523062270778	0.04065066931812441	0.058671850463452586	0.2835501704381666	0.12689757991137876	0.16456548683185118	0.09425108599174242	0.09599271079264116	0.05872124814518458	0.022763526476017884	0.07013794614145508	0.17993965451977806	0.0410810116490623	0.018828665131630267	0.13405988412730763	0.11165153503245284	0.054552561205640684	0.047385354194968754	0.09149410317223315	0.3670550633748645	0.05168105974292776	0.10431912408380438	0.007753690630919888	0.04402794754508663	0.019618748180990367	0.019829922213295482	0.02914810272266377	0.0006992684740459083	0.049131370305863814	0.10240452436428321	0.06383054488392195	0.05835222228153079	0.10941639595623402	0.01892216784728906	0.0	0.0	0.0	0.0	0.6925566343042072	0.5842105263157894	0.7267904509283821	0.011111111111111112	0.7196969696969696	0.8620689655172414	0.0	0.0	0.0	0.5663716814159292	0.2290748898678414	0.0
EGF	0.012759039454003036	0.005295183279226576	0.0	0.04546479795332814	0.05016066122582521	0.016436054535466146	0.10019273114663446	0.0	0.09120648408618644	0.026964808724841947	0.024948006051469525	0.01497270337225639	0.005395868658626771	0.05416477725715927	0.053197180683563085	0.04083584932467883	0.14999072301317848	0.25444130696003725	0.03229933738854739	0.06186994201675945	0.029395263052250258	0.03905904549184814	0.10230745727797201	0.03424130906904463	0.1652309635701083	0.01904542113335232	0.3982947180850217	0.13078084711950602	0.04317160131256689	0.019197807822761936	0.15930330475673687	0.14199957673463792	0.40698086344927115	0.21053214324571157	0.1805281051920297	0.04355980747457629	0.044746497298466435	0.14712753564225559	0.17907632205950338	0.15035252778808275	0.1605827962096161	0.15566935246017413	0.044588344307664125	0.008376690072706581	0.1198578643332727	0.04277757685591497	0.1430027565434769	0.4639581995693039	0.0	0.0	0.0	0.0	0.0	0.0	0.4190981432360743	0.0	0.0	0.0	0.6383763837638378	0.0	0.0	0.0	0.0	0.0
PIK3CA	0.0	1.0	0.1401249586313214	0.18173545556598442	0.4629429114288853	0.2934974928459391	0.08180577672050282	0.014400406987246489	0.6380612401920825	0.18804171444403386	0.12368378951990698	0.5226011576513472	0.30206963946532095	0.37958593581159533	1.0	0.08153259228890358	0.018068847847782718	0.013236700413612587	0.013547496034230586	0.013790111318299943	0.04443197257379145	0.016720618739977215	0.013004518840965167	0.004462045481349635	0.018847216861695673	0.021367597565692828	0.0089750870709471	0.0034082130096842033	0.004662880209501025	0.02469400317422771	0.00946135695187291	0.0023615440932961205	0.011008540180918139	0.0961879440113562	0.02156099688857588	0.055820358171923906	0.03456176733150741	0.054265717269341956	0.04748846145751651	0.010977746157739563	0.0670953030332296	0.01852897668420012	0.007890740578091459	0.031312981057966746	0.01677531462465974	0.050857487297203116	0.0004889159792323692	0.02609427924659513	0.1870967741935484	0.42965779467680615	0.0	0.0	0.0	0.0	0.0	0.0	0.8257575757575757	0.0	0.0	0.0	0.0	0.0	0.0	0.507537688442211
PIK3R1	0.012786219557089987	0.09429528735679067	0.028058711859120143	0.02169705306106444	0.03874321366777851	0.02737075938057976	0.0	0.003601124911035341	0.0	0.026831558446940414	0.0	0.3664832971877427	0.02655052499572257	0.0	0.13773267183400886	0.16277913309139508	0.0077057173554770445	0.00046275895118883946	0.0060527440690199595	0.0062334992035223335	0.0011436622076638602	0.006035614708312836	0.0036899678666294468	0.006361349094858917	0.007697927867100445	0.008481423170802771	0.001050958360107622	0.007047521631461077	0.0016433893440206497	0.013366808107316023	0.008967109034300579	0.0002895211402363762	0.017076558336850425	0.2155827417648238	0.03233525010101937	0.1710863255613385	0.011029157767378166	0.09321665626039677	0.13142689222124043	0.010407547877336523	0.15087386135151307	0.0788514928408972	0.033037931322745365	0.16961699293130011	0.04071534051698411	0.08086123837456764	0.22242348429864517	0.03855269125496034	0.0	0.3548795944233207	0.0	0.3367346938775511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8539823008849557	0.0	0.0
SRC	0.02560815357097345	0.005230182651406524	0.02778119809901424	0.0	0.02587279103495592	0.0	0.0	0.003598596899704865	0.06068783714188743	0.0	0.04984092635437281	0.007541771504343924	0.0	0.0	0.05507290927365183	0.0	0.10637003871225542	0.027197222742261214	0.014613158686798192	0.0019957093662741118	0.009528158698815407	0.007200609409847571	0.03188198048164318	0.011810537322859816	0.05213311956877134	0.028162991576759513	0.047615872040939096	0.023323437676263103	0.03922127698144272	0.04518722999298857	0.0062307281886019765	0.01627109444291748	0.011126601047181347	0.055580770597609255	0.03773137340082374	0.00019986903080554543	0.0654063816564748	0.04306284873260701	0.03965094463761624	0.06365586337663104	0.04721700328776046	0.01370509935060803	0.13426825556702782	0.0032121870769469137	0.009848961668484124	0.02639274364495259	0.0010949941794213065	0.029487977494493552	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PXN	0.012740704699804893	0.005256876801790808	0.0	0.0	0.024743301981814268	0.010804141996993893	0.019549117434711587	0.0071235542433243605	0.0	0.02633406551751001	0.0	0.014552050603458844	0.02136254238589422	0.0	0.052084518181801445	0.0	0.0616837326609189	0.018308025289445858	0.04501178654196947	0.02677709983115654	0.017085348356501696	0.026619335538232383	0.03153010059969038	0.05616964002677141	0.0047119887434226605	0.06698955050468469	0.019038024519379627	0.08544713835987526	0.05119743919659252	0.0002396540886021804	0.1002795064691322	0.062280054792023275	0.0005781981089279834	0.076174576029165	0.022072546814870076	0.0357802049544687	6.632645073849293e-05	0.10885197584377057	0.06950437683187766	0.03358245278941112	0.005274366168491735	0.0007958087573909265	0.04450120318248637	0.0650083284373193	0.03592002614266155	0.07328050560952341	0.025181525533609465	0.04850688108044641	0.0	0.267427122940431	0.0	0.12244897959183673	0.0	0.16578947368421051	0.35278514588859416	0.0	0.0	0.0	0.0	0.0	0.0	0.19026548672566373	0.0	0.0
CLPS	0.0	0.0	0.0	0.0	0.012966737237575849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005447865853277031	0.0	0.0	0.0	0.16802069344474077	0.04165524307924009	0.1202292088551702	0.07938529874581994	0.09576349234054206	0.19668288360547925	0.048604423128007765	0.0429701096061311	0.11694038708129857	0.033828644089669076	0.180961109007242	0.028723692881931037	0.09450580228525307	0.08480682379560928	0.037685900896753666	0.022026803150080005	0.0	0.10223335909148759	0.0	0.0	0.27736213050695985	0.0	0.0	0.0	0.0	0.0	0.0	0.15669757606487572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PNLIP	0.0	0.005299220353138047	0.0	0.04554956646667537	0.026082618664548675	0.005502805593388853	0.0410523630577451	0.0	0.0	0.0	0.0	0.0038698619485424334	0.016312193025621712	0.16462077482024873	0.028180926907974427	0.0	0.22818779082568488	0.2270271743978059	0.2049834286060981	0.21581057044785557	0.04792909001356744	0.508395150343933	0.42490086865373067	0.11853598851862164	0.44692228597819306	0.1839546952939593	0.6609743715930402	0.3191205476787414	0.26928525843073914	0.4107264150930391	0.3463973864566134	0.052560797081003065	0.0	0.0	0.0	0.1901124051533069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.326530612244898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3874538745387454	0.0	0.33435582822085885	0.0	0.0	0.0
GNB1	0.012786748053521169	0.0	0.0	0.0	0.012696325716440929	0.005479500786816513	0.02012068435855253	0.0	0.0	0.0	0.024980896824920575	0.0074940612302905885	0.0	0.0	0.0558446952261708	0.0	0.007428316455769489	0.007895180914400557	0.01923656285078638	0.004378684721822449	0.005274322470995266	0.008314155872554073	0.009058792781911436	0.0005987631165441185	0.006715884430875716	0.005410130938573909	0.007694015767995245	0.0013022190057808288	0.008081330729250201	0.011322779509343925	0.0019478904279288708	0.0039190446990420595	0.011585229181584484	0.005726001651261246	0.02565296730223405	0.002114205626617639	0.00730288193543657	0.05516469047118098	0.01823984864206822	0.012292975944932465	0.001010328707192462	0.014641516396593904	0.032096921078850885	0.005030262757026865	0.022923412084821182	0.02289849429500535	0.024832024471735523	0.008097105028839728	0.2129032258064516	0.0	0.0	0.0	0.0	0.24999999999999994	0.32360742705570295	0.0	0.0	0.0	0.5977859778597787	0.0	0.0	0.504424778761062	0.1762114537444934	0.271356783919598
